Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.235923;-5.71197e-10;-1.0695950000000002e-09;-4.98397e-10
-0.240666;-6.55197e-10;-9.407950000000002e-10;-2.85598e-10
-0.245408;-5.935970000000001e-10;-8.231960000000001e-10;-2.2959800000000002e-10
-0.25015;-5.31997e-10;-7.055960000000001e-10;-1.7359900000000002e-10
-0.254892;-7.223960000000001e-10;-8.791960000000001e-10;-1.56799e-10
-0.259634;-5.87997e-10;-7.72796e-10;-1.8479900000000002e-10
-0.264376;-5.767970000000001e-10;-7.055960000000001e-10;-1.28799e-10
-0.269119;-5.43197e-10;-6.43997e-10;-1.0079900000000001e-10
-0.27386099999999997;-4.2559800000000004e-10;-5.59997e-10;-1.3439900000000001e-10
-0.278603;-4.08798e-10;-5.26397e-10;-1.17599e-10
-0.283345;-2.79998e-10;-4.927970000000001e-10;-2.1279900000000002e-10
-0.288087;-1.7359900000000002e-10;-4.36798e-10;-2.63198e-10
-0.29283;-1.2319900000000002e-10;-4.08798e-10;-2.85598e-10
-0.297572;-6.719972e-11;-3.7519800000000004e-10;-3.07998e-10
-0.30231399999999997;-2.7999882000000003e-11;-3.5279800000000005e-10;-3.2479800000000004e-10
