Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.160048;1.2319900000000002e-10;5.71197e-10;4.4799800000000004e-10
-0.164791;1.3439900000000001e-10;5.375970000000001e-10;4.0319800000000005e-10
-0.169533;1.56799e-10;4.927970000000001e-10;3.35998e-10
-0.17427499999999999;1.79199e-10;4.4799800000000004e-10;2.6879800000000003e-10
-0.17901699999999998;2.1279900000000002e-10;4.0319800000000005e-10;1.9039900000000003e-10
-0.18375899999999998;2.5199800000000004e-10;3.4719800000000003e-10;9.51996e-11
-0.188501;2.85598e-10;2.79998e-10;-5.599976e-12
-0.193244;3.07998e-10;2.0159900000000002e-10;-1.0639900000000001e-10
-0.197986;3.1919800000000003e-10;1.11999e-10;-2.07199e-10
-0.202728;3.13598e-10;1.6799928e-11;-2.9679800000000003e-10
-0.20747;2.7439800000000004e-10;-8.399964e-11;-3.58398e-10
-0.21221199999999998;2.2959800000000002e-10;-1.8479900000000002e-10;-4.14398e-10
-0.21695499999999998;1.9039900000000003e-10;-2.7439800000000004e-10;-4.64797e-10
-0.22169699999999998;1.6239900000000002e-10;-3.4719800000000003e-10;-5.095970000000001e-10
-0.226439;1.2319900000000002e-10;-4.3119800000000006e-10;-5.54397e-10
-0.231181;1.17599e-10;-4.64797e-10;-5.823970000000001e-10
-0.235923;5.5999764000000006e-11;-5.095970000000001e-10;-5.655970000000001e-10
-0.240666;0.0;-5.43197e-10;-5.43197e-10
-0.245408;-5.03998e-11;-5.655970000000001e-10;-5.15197e-10
-0.25015;-7.839962400000001e-11;-5.54397e-10;-4.759970000000001e-10
-0.254892;-1.0079900000000001e-10;-5.43197e-10;-4.4239800000000003e-10
-0.259634;-1.2319900000000002e-10;-5.26397e-10;-4.0319800000000005e-10
-0.264376;-1.3439900000000001e-10;-4.927970000000001e-10;-3.58398e-10
-0.269119;-1.6239900000000002e-10;-4.5359800000000005e-10;-2.91198e-10
-0.27386099999999997;-1.9039900000000003e-10;-4.08798e-10;-2.18399e-10
-0.278603;-2.2399900000000002e-10;-3.58398e-10;-1.3439900000000001e-10
-0.283345;-2.57598e-10;-2.9679800000000003e-10;-3.9199832000000004e-11
-0.288087;-2.85598e-10;-2.2959800000000002e-10;5.5999760000000004e-11
-0.29283;-3.07998e-10;-1.45599e-10;1.6239900000000002e-10
-0.297572;-3.13598e-10;-5.5999760000000004e-11;2.57598e-10
-0.30231399999999997;-3.0239800000000004e-10;3.9199832000000004e-11;3.41598e-10
